name,v,f,t,mtt24,mtt48
t312,12.2,14.57,6389.852397,160.4505632,320.5513784
t314,12.5,14.58,5991.692297,149.5619524,444.1102757
t318,13.2,14.54,5249.558824,85.09036145,78.67247008
t320,13.5,14.55,4705.115561,90.51204819,144.1784548
t322,13.7,14.56,5266.17942,135.5421687,101.0881393
t324,14,14.56,5009.880228,117.0180723,120.4570185
t326,14.3,14.57,4939.030509,184.939759,131.0119695
t328,14.5,14.57,3944.37381,197.5903614,221.9804135
t330,14.7,14.58,4342.047339,170.3313253,221.1099021
t332,15,14.58,4259.883377,254.0662651,343.960827
t334,15.2,14.59,4252.896189,201.9578313,280.304679
t336,15.5,14.59,4270.438448,172.7409639,230.9031556
t338,15.7,14.59,4339.752914,172.5903614,278.5636561
t340,16,14.59,4360.545192,168.2228916,234.820457
t342,16.2,14.6,4387.487906,263.1024096,293.7976061
t344,16.5,14.6,4647.854588,275.6024096,191.5125136
t346,16.7,14.6,4371.448755,334.4879518,137.6496192
t350,10,15.13,4405.141576,110.0831601,133.5347432
t354,10.5,15.16,4812.006185,98.64864865,115.2567976
t358,11.2,15.18,4761.287269,108.5239085,227.0392749
t360,11.4,15.18,4566.28666,118.6070686,155.5891239
t362,11.6,15.19,4897.468072,133.2640333,294.4108761
t364,11.8,15.19,3131.311371,80.66528067,204.3806647
t366,12.4,15.2,4825.855812,133.991684,249.0936556
t368,12.6,15.2,4419.543079,199.0644491,188.3685801
t370,12.8,15.2,4300.838589,114.3451143,246.3746224
t372,13.2,15.21,4612.073234,163.2016632,383.836858
t374,13.4,15.21,4367.833062,166.008316,325.9818731
t376,13.6,15.21,4301.950795,99.06444906,310.7250755
t378,13.8,15.21,4516.739801,168.9189189,460.4229607
t382,14.4,15.24,4627.500696,113.2013201,40.12474012
t384,14.6,15.26,4880.526494,105.1705171,96.36174636
t386,14.8,15.28,5057.582648,103.190319,80.56133056
t388,15.2,15.29,4633.262639,98.34983498,135.2390852
t390,15.4,15.29,5074.178143,70.95709571,117.983368
t392,15.8,15.3,5117.750473,110.4510451,94.28274428
t394,15.6,15.29,3778.150055,121.8921892,150.7276507
t396,16.2,15.3,3754.958125,121.4521452,200.6237006
t398,16.4,15.31,3752.597532,149.0649065,209.8752599
t400,16.6,15.31,3801.624905,115.8415842,130.8731809
t402,16.8,15.31,3807.737232,170.0770077,235.3430353
t404,17.2,15.32,3930.483411,105.8305831,120.6860707
t406,17.4,15.33,3836.273854,172.0572057,256.029106
t408,17.6,15.33,3996.885925,122.5522552,68.3991684
t410,17.8,15.33,4065.290209,124.8624862,102.8066528
t414,18.4,15.4,3643.150478,311.8003026,280.7150596
t416,18.6,15.43,3924.570078,183.9636914,340.6283857
t418,18.8,15.46,3916.134177,180.7866868,356.0130011
t420,19.2,15.47,3726.035147,228.4417549,230.9859155
t422,19.4,15.47,3783.425806,207.8668684,282.2318527
t424,11,16.33,3876.499869,171.8608169,226.9772481
t432,12.5,16.37,4117.648543,215.279879,143.9869989
t434,13,16.37,3819.383447,246.4447806,181.4734561
t436,13.2,16.37,-14559.55154,167.9273828,195.1245937
t438,13.8,16.38,3714.775909,238.7291982,178.1148429
t440,14.2,16.38,3775.353562,123.2980333,97.18309859
t442,14.8,16.38,3536.99264,177.1558245,113.2177681
t446,14.4,16.39,5634.206989,85.08403361,38.53164557
t448,15.8,16.4,7547.431545,77.83613445,114.2278481
t450,16.2,16.4,5948.040863,88.97058824,70.78481013
t452,16.8,16.41,5154.378857,72.89915966,69.97468354
t454,17.2,16.41,5726.052909,139.7058824,47.69620253
t456,17.7,16.41,6225.188197,83.71848739,93.26582278
t458,18.2,16.41,4810.607623,88.23529412,51.79746835
t460,18.7,16.42,4016.764398,110.0840336,96.50632911
t462,19.2,16.42,4388.826576,123.4243697,67.18987342
t464,19.4,16.42,4144.893078,87.81512605,77.01265823
t466,19.5,16.43,4212.525548,73.52941176,44.86075949
t468,19.8,16.43,4046.700339,95.27310924,71.74683544
t472,11.6,17.4,4174.457347,98.1092437,49.11392405
t474,12.3,17.4,4042.121895,132.4579832,36.35443038
t478,13.2,17.47,4149.001945,137.9746835,169.3564862
t480,13.4,17.48,3861.132181,176.1603376,113.5852911
t482,13.8,17.48,4294.094052,109.2827004,107.5587334
t484,14.2,17.49,4134.693166,131.8565401,63.43207354
t486,14.8,17.49,3828.533668,155.907173,102.6557712
t488,15.2,17.49,4900.48966,236.0759494,76.50663943
t490,15.8,17.49,4142.477102,210.1265823,75.58733401
t492,16.2,17.5,4278.723872,181.8565401,143.0030644
t494,16.8,17.5,4978.315217,173.8396624,135.0357508
t496,17.3,17.5,4516.563058,182.0675105,73.44228805
t498,17.8,17.5,4568.968292,250.2109705,112.1552605
t500,18.2,17.5,4649.369215,256.7510549,89.88764045
t502,18.8,17.5,4675.009497,283.9662447,79.97957099
t504,19.2,17.51,4639.068932,143.6708861,69.76506639
t506,19.5,17.51,4216.231283,352.1097046,276.4044944
t512,11.8,18.06,4531.781806,72.54174397,146.3129496
t514,12.2,18.06,4449.756848,73.09833024,107.7338129
t516,12.8,18.07,4247.681513,41.92949907,106.8345324
t518,13.2,18.07,4315.863988,74.30426716,122.8417266
t520,13.8,18.07,4446.609339,51.85528757,95.95323741
t522,14.2,18.09,4350.291719,57.05009276,99.01079137
t524,14.8,18.09,12383.17055,54.45269017,102.5179856
t526,15.2,18.09,7155.180259,63.3580705,168.8848921
t528,15.8,18.09,5794.912158,58.6270872,73.20143885
t530,16.2,18.1,5068.586123,59.55473098,103.4172662
t532,16.8,18.1,4784.77879,84.41558442,88.75899281
t534,17.2,18.1,4778.323299,78.94248609,60.43165468
t536,17.8,18.1,4933.595097,81.81818182,25.80935252
t538,18.2,18.1,4569.508277,72.82003711,49.64028777
t542,11.8,19.09,4610.870586,93.41672153,147.5
t544,12.2,19.09,4413.118793,62.73864384,184.5192308
t546,12.8,19.1,4431.028714,101.3824885,111.7307692
t548,13.2,19.11,4313.160021,81.56682028,114.5192308
t550,13.8,19.11,4557.295936,71.62606978,130.4807692
t552,14.2,19.13,4468.132309,80.71099408,155
t554,14.8,19.13,6385.614865,77.28768927,164.5192308
t556,15.2,19.14,5894.000827,87.42593812,199.1346154
t558,15.8,19.14,5203.228892,72.48189598,103.75
t560,16.2,19.15,5111.780604,67.54443713,180.7692308
t562,16.8,19.15,4947.201391,78.0118499,87.69230769
t564,17.2,19.15,4727.428413,98.88084266,88.75
t566,17.8,19.15,4516.374335,81.10599078,97.98076923
t568,18,19.15,4862.725159,59.0520079,102.2115385
t570,18.5,19.16,4625.060171,58.39368005,109.4230769
t574,13,20.4,4373.626923,80.83538084,52.13872832
t576,13.2,20.4,4648.865376,125.1842752,200.3468208
t578,14.2,20.41,4488.132362,139.9262899,118.150289
t580,14.8,20.42,4256.670866,136.3636364,213.7572254
t582,15.2,20.42,4550.934047,161.6707617,164.1618497
t584,15.8,20.43,4612.488289,136.2407862,160.2312139
t586,16.2,20.43,4901.601912,159.5823096,153.1791908
t588,16.8,20.44,5201.209328,153.8083538,187.7456647
t590,17.2,20.44,5071.085779,173.2186732,132.4855491
t592,17.8,20.44,4759.827572,153.6855037,167.0520231
t594,18.2,20.44,4631.397698,155.4054054,202.3121387
t596,18.8,20.44,4706.495194,138.0835381,144.3930636
t598,19.2,20.45,4803.870129,157.4938575,251.7919075
t600,19.8,20.45,4229.985492,91.15479115,203.9306358
t602,20.2,20.45,4516.607501,124.3243243,199.3063584
t638,14,12.13,4731.275731,89.70212766,92.65471371
t640,14.2,12.14,4592.196702,70.04255319,100.9253904
t642,14.5,12.15,4500.882691,72.17021277,84.55754772
t644,14.8,12.16,4426.322169,82.38297872,85.13591671
t646,15,12.16,4620.189752,73.87234043,82.01272412
t648,15.2,12.17,4597.296578,83.57446809,97.2816657
t650,15.5,12.17,5181.391784,89.36170213,121.2261423
t652,15.8,12.17,5330.933745,72.08510638,105.8993638
t654,16,12.18,5007.057327,84.93617021,87.91208791
t656,16.2,12.18,4934.556431,95.65957447,99.3637941
t658,16.5,12.18,5054.646424,73.0212766,87.85425101
t660,16.8,12.18,5031.308445,85.36170213,117.1197224
t662,17,12.18,5066.347241,105.7021277,107.4031232
t664,17.2,12.19,4907.571877,87.14893617,78.65818392
t666,17.5,12.19,5024.514001,82.80851064,85.25159051
t670,18,15.2,4118.403674,131.7748092,102.1390374
t672,19,16.43,4042.035401,90.83969466,121.8487395
t674,19,17.43,3933.091616,102.8625954,175.1718869
t676,18.5,18.1,3899.364374,105.7251908,96.94423224
t678,17.5,19.1,4001.512135,85.6870229,137.6623377
t680,13.7,20.43,4131.3022,112.8816794,84.18640183
t682,13,14.58,4687.844155,101.240458,111.3063407
t684,17,14.6,4604.946258,117.6526718,95.95110772
t686,14.2,15.22,4610.772131,114.8854962,148.8922842
t688,18.2,15.23,4661.625645,151.8129771,136.5164248
t690,15.2,16.28,4593.940395,105.3435115,215.1260504
t692,12.8,17.4,4806.786452,154.7709924,189.3048128
t694,20,17.51,4674.817153,95.03816794,247.6699771
t696,18.8,18.11,4814.984353,131.5839695,195.4163484
t698,19,19.16,4585.22371,105.3435115,172.8800611
