name,mtt24,mtt48
t2,110.0334448,112.6853377
t8,133.4448161,103.2948929
t10,158.5284281,100.0
t18,176.9230769,95.88138386
t24,126.4214047,78.4184514
t33,60.10869565,103.3687943
t35,72.2826087,139.7163121
t37,77.60869565,171.6312057
t39,85.32608696,167.0212766
t41,79.7826087,137.4113475
t43,75.86956522,179.6099291
t45,87.39130435,200.0
t47,112.173913,149.1134752
t49,56.08695652,165.9574468
t51,64.67391304,118.6170213
t53,77.06521739,199.1134752
t55,96.84782609,234.751773
t57,57.2826087,190.248227
t59,50.54347826,87.23404255
t61,60.43478261,109.751773
t63,98.87850467,157.5757576
t65,160.9345794,177.3386034
t67,83.17757009,226.2187088
t69,179.6261682,223.3201581
t71,171.4018692,182.0816864
t73,167.6635514,162.1870883
t75,181.3084112,191.1725955
t77,198.1308411,176.9433465
t79,248.7850467,217.9183136
t81,306.1682243,190.6455863
t83,204.6728972,190.9090909
t85,221.8691589,164.6903821
t87,282.6168224,182.0816864
t89,221.682243,110.5401845
t91,235.8878505,249.9341238
t99,122.9437229,23.79793061
t101,131.1688312,25.01521607
t103,148.4848485,36.70115642
t105,82.25108225,23.06755934
t107,125.974026,47.23067559
t109,117.965368,45.70906878
t111,98.91774892,58.42970177
t113,73.80952381,60.01217285
t115,110.3896104,54.7778454
t117,68.18181818,48.87401096
t119,102.8138528,61.59464394
t121,169.4805195,46.9872185
t123,69.6969697,89.95739501
t131,109.0512541,57.72311213
t135,156.9247546,78.03203661
t139,180.261723,54.17620137
t141,133.3696838,144.7940503
t143,197.9280262,62.47139588
t145,220.610687,103.8901602
t147,194.8745911,59.38215103
t149,143.4023991,48.45537757
t151,194.5474373,59.95423341
t153,213.740458,42.6201373
t155,116.9029444,22.19679634
t161,132.0359281,262.8676471
t171,103.9670659,384.0073529
t173,161.6766467,214.1544118
t175,159.1317365,243.3823529
t177,100.5239521,222.0588235
t179,164.5958084,174.8161765
t181,108.3083832,263.6029412
t183,134.9550898,258.8235294
t185,81.36227545,330.1470588
t187,120.4341317,224.6323529
t191,91.92118227,117.7920686
t193,114.5812808,201.1789925
t195,106.3054187,212.2186495
t197,112.3152709,293.7834941
t199,123.7438424,210.7181136
t201,119.6059113,212.3258307
t203,128.4729064,339.1211147
t205,153.1034483,196.9989282
t207,74.48275862,209.0032154
t209,141.182266,154.9839228
t211,115.7635468,182.8510182
t213,223.8423645,126.3665595
t215,129.9507389,245.1232583
t217,106.7980296,304.2872454
t219,134.5812808,212.5401929
t230,197.2826087,56.81818182
t234,155.7065217,78.44155844
t236,457.3369565,63.11688312
t238,173.6413043,62.79220779
t240,448.9130435,60.71428571
t242,138.8586957,90.84415584
t244,342.9347826,77.72727273
t246,266.0326087,69.28571429
t248,279.3478261,80.51948052
t254,358.3690987,21.90281899
t256,143.776824,57.93768546
t258,239.055794,26.89169139
t260,284.9785408,12.87091988
t262,269.0987124,22.01409496
t264,193.9914163,22.53338279
t266,203.4334764,27.44807122
t268,139.055794,15.91246291
t270,241.6309013,20.34495549
t272,193.1330472,12.35163205
t274,295.7081545,18.97255193
t276,193.5622318,12.01780415
t278,388.4120172,16.35756677
t280,217.167382,12.8152819
t282,291.416309,16.06083086
t300,193.4918648,194.235589
t302,150.8135169,437.0927318
t304,224.9061327,205.0125313
t306,190.9887359,361.6541353
t308,159.1989987,263.6591479
t310,142.0525657,482.2055138
t312,160.4505632,320.5513784
t314,149.5619524,444.1102757
t318,85.09036145,78.67247008
t320,90.51204819,144.1784548
t322,135.5421687,101.0881393
t324,117.0180723,120.4570185
t326,184.939759,131.0119695
t328,197.5903614,221.9804135
t330,170.3313253,221.1099021
t332,254.0662651,343.960827
t334,201.9578313,280.304679
t336,172.7409639,230.9031556
t338,172.5903614,278.5636561
t340,168.2228916,234.820457
t342,263.1024096,293.7976061
t344,275.6024096,191.5125136
t346,334.4879518,137.6496192
t350,110.0831601,133.5347432
t354,98.64864865,115.2567976
t358,108.5239085,227.0392749
t360,118.6070686,155.5891239
t362,133.2640333,294.4108761
t364,80.66528067,204.3806647
t366,133.991684,249.0936556
t368,199.0644491,188.3685801
t370,114.3451143,246.3746224
t372,163.2016632,383.836858
t374,166.008316,325.9818731
t376,99.06444906,310.7250755
t378,168.9189189,460.4229607
t382,113.2013201,40.12474012
t384,105.1705171,96.36174636
t386,103.190319,80.56133056
t388,98.34983498,135.2390852
t390,70.95709571,117.983368
t392,110.4510451,94.28274428
t394,121.8921892,150.7276507
t396,121.4521452,200.6237006
t398,149.0649065,209.8752599
t400,115.8415842,130.8731809
t402,170.0770077,235.3430353
t404,105.8305831,120.6860707
t406,172.0572057,256.029106
t408,122.5522552,68.3991684
t410,124.8624862,102.8066528
t414,311.8003026,280.7150596
t416,183.9636914,340.6283857
t418,180.7866868,356.0130011
t420,228.4417549,230.9859155
t422,207.8668684,282.2318527
t424,171.8608169,226.9772481
t432,215.279879,143.9869989
t434,246.4447806,181.4734561
t436,167.9273828,195.1245937
t438,238.7291982,178.1148429
t440,123.2980333,97.18309859
t442,177.1558245,113.2177681
t446,85.08403361,38.53164557
t448,77.83613445,114.2278481
t450,88.97058824,70.78481013
t452,72.89915966,69.97468354
t454,139.7058824,47.69620253
t456,83.71848739,93.26582278
t458,88.23529412,51.79746835
t460,110.0840336,96.50632911
t462,123.4243697,67.18987342
t464,87.81512605,77.01265823
t466,73.52941176,44.86075949
t468,95.27310924,71.74683544
t472,98.1092437,49.11392405
t474,132.4579832,36.35443038
t478,137.9746835,169.3564862
t480,176.1603376,113.5852911
t482,109.2827004,107.5587334
t484,131.8565401,63.43207354
t486,155.907173,102.6557712
t488,236.0759494,76.50663943
t490,210.1265823,75.58733401
t492,181.8565401,143.0030644
t494,173.8396624,135.0357508
t496,182.0675105,73.44228805
t498,250.2109705,112.1552605
t500,256.7510549,89.88764045
t502,283.9662447,79.97957099
t504,143.6708861,69.76506639
t506,352.1097046,276.4044944
t512,72.54174397,146.3129496
t514,73.09833024,107.7338129
t516,41.92949907,106.8345324
t518,74.30426716,122.8417266
t520,51.85528757,95.95323741
t522,57.05009276,99.01079137
t524,54.45269017,102.5179856
t526,63.3580705,168.8848921
t528,58.6270872,73.20143885
t530,59.55473098,103.4172662
t532,84.41558442,88.75899281
t534,78.94248609,60.43165468
t536,81.81818182,25.80935252
t538,72.82003711,49.64028777
t542,93.41672153,147.5
t544,62.73864384,184.5192308
t546,101.3824885,111.7307692
t548,81.56682028,114.5192308
t550,71.62606978,130.4807692
t552,80.71099408,155.0
t554,77.28768927,164.5192308
t556,87.42593812,199.1346154
t558,72.48189598,103.75
t560,67.54443713,180.7692308
t562,78.0118499,87.69230769
t564,98.88084266,88.75
t566,81.10599078,97.98076923
t568,59.0520079,102.2115385
t570,58.39368005,109.4230769
t574,80.83538084,52.13872832
t576,125.1842752,200.3468208
t578,139.9262899,118.150289
t580,136.3636364,213.7572254
t582,161.6707617,164.1618497
t584,136.2407862,160.2312139
t586,159.5823096,153.1791908
t588,153.8083538,187.7456647
t590,173.2186732,132.4855491
t592,153.6855037,167.0520231
t594,155.4054054,202.3121387
t596,138.0835381,144.3930636
t598,157.4938575,251.7919075
t600,91.15479115,203.9306358
t602,124.3243243,199.3063584
t638,89.70212766,92.65471371
t640,70.04255319,100.9253904
t642,72.17021277,84.55754772
t644,82.38297872,85.13591671
t646,73.87234043,82.01272412
t648,83.57446809,97.2816657
t650,89.36170213,121.2261423
t652,72.08510638,105.8993638
t654,84.93617021,87.91208791
t656,95.65957447,99.3637941
t658,73.0212766,87.85425101
t660,85.36170213,117.1197224
t662,105.7021277,107.4031232
t664,87.14893617,78.65818392
t666,82.80851064,85.25159051
t670,131.7748092,102.1390374
t672,90.83969466,121.8487395
t674,102.8625954,175.1718869
t676,105.7251908,96.94423224
t678,85.6870229,137.6623377
t680,112.8816794,84.18640183
t682,101.240458,111.3063407
t684,117.6526718,95.95110772
t686,114.8854962,148.8922842
t688,151.8129771,136.5164248
t690,105.3435115,215.1260504
t692,154.7709924,189.3048128
t694,95.03816794,247.6699771
t696,131.5839695,195.4163484
t698,105.3435115,172.8800611
