name,v,f,t,mtt24,mtt48
t1,9,12.17,4303.286842,117.0568562,76.44151565
t7,10.5,12.18,4205.660441,142.8093645,120.5930807
t9,11,12.18,4077.611088,210.367893,160.1317957
t13,12,12.18,2981.276405,213.7123746,99.01153213
t17,13,12.18,2917.978507,198.3277592,117.7924217
t23,14.5,12.19,4220.369309,118.0602007,78.74794069
t32,16.4,12.26,5816.03113,64.56521739,169.5035461
t34,17,12.27,6401.374363,60.76086957,102.3049645
t36,17.5,12.27,11564.12637,105.8695652,170.035461
t38,18,12.28,8197.710824,187.5,133.3333333
t40,18.5,12.28,10120.59069,75.76086957,173.4042553
t42,13.2,14.63,8131.221217,75.76086957,112.4113475
t44,13.7,14.63,8820.207591,78.26086957,207.9787234
t46,14,14.64,8310.839016,81.30434783,150.177305
t48,14.5,14.64,8126.927566,111.5217391,183.8652482
t50,14.9,14.64,8462.552236,124.0217391,170.5673759
t52,15.5,14.64,6883.083969,92.7173913,240.4255319
t54,16,14.64,9445.746472,85,151.7730496
t56,16.5,14.65,8507.052782,83.91304348,183.1560284
t58,17,14.65,7735.052167,61.30434783,165.070922
t60,17.5,14.65,7772.94199,50.43478261,87.94326241
t62,18,14.65,13887.60835,57.7173913,85.46099291
t62a,10.6,15.16,8030.501751,148.0373832,165.085639
t64,11,15.17,9379.561969,119.0654206,191.831357
t66,11.5,15.17,5681.749513,161.3084112,182.740448
t68,12,15.18,5053.870653,85.23364486,182.740448
t70,12.5,15.18,6532.332805,146.9158879,196.8379447
t72,13,15.19,6500.487674,135.5140187,144.400527
t74,13.5,15.19,6049.148831,174.953271,171.1462451
t76,14,15.19,5294.390305,132.7102804,183.6627141
t78,14.5,15.19,5021.517373,255.3271028,154.6772069
t80,15,15.2,6392.105344,202.9906542,121.0803689
t82,15.5,15.18,10260.45221,295.5140187,264.0316206
t84,16,15.19,6958.531605,234.953271,289.5915679
t86,16.5,15.19,5225.596723,229.5327103,194.8616601
t88,17,15.19,5431.298994,406.1682243,265.2173913
t90,17.5,15.19,5001.009352,222.2429907,232.0158103
t94,11.7,16.34,3927.852975,102.3809524,65.79427876
t96,12.3,16.36,7649.705336,72.29437229,28.48447961
t98,12.8,16.37,4630.640621,135.4978355,24.77175898
t100,13.5,16.37,3710.387616,111.038961,29.33657943
t102,14,16.38,4217.494256,158.6580087,32.80584297
t104,14.5,16.39,3767.338209,112.1212121,44.91783323
t106,15,16.39,4052.493508,103.2467532,42.42239805
t108,15.5,16.4,3860.708971,152.8138528,59.40353013
t110,16,16.4,4641.852592,210.3896104,77.29762629
t112,16.5,16.4,4404.378824,88.74458874,61.83810103
t114,17,16.4,4541.429676,98.7012987,61.89896531
t116,17.5,16.4,4248.872221,134.4155844,38.40535606
t118,18,16.4,3902.290687,109.95671,58.49056604
t120,18.5,16.41,4005.859629,85.93073593,75.65429093
t122,11,16.41,5462.733886,206.0606061,43.82227632
t124,19,16.41,4856.076733,152.5974026,75.65429093
t134,13.5,17.41,5736.638436,209.1603053,142.6773455
t138,14.5,17.42,5447.151505,172.1919302,129.0045767
t140,15,17.42,5325.292469,101.9629226,24.65675057
t142,15.5,17.43,4854.378307,172.7371865,128.0892449
t144,16,17.43,5825.197652,142.6390403,28.48970252
t146,16.5,17.43,5848.998598,295.2017448,98.3409611
t148,17,17.43,5323.866684,110.0327154,33.63844394
t150,17.5,17.43,5052.671158,203.1624864,70.65217391
t152,18,17.43,4660.806575,138.2769902,21.73913043
t154,18.5,17.43,4770.527259,206.9792803,41.4187643
t156,19,17.43,4830.989273,75.68157034,15.84668192
t160,11.5,18.04,11836.02779,90.11976048,207.5367647
t166,13,18.07,4100.412911,114.2964072,270.4044118
t170,14,18.08,5583.480332,137.6497006,267.4632353
t172,14.5,18.09,8771.914011,106.0628743,204.5955882
t174,15,18.09,7384.099208,187.3502994,230.1470588
t176,15.5,18.09,6467.146067,146.6317365,253.6764706
t178,16,18.09,5957.450318,147.9790419,203.3088235
t180,16.5,18.09,4964.243359,153.1437126,175.3676471
t182,17,18.09,5267.510227,136.9760479,360.6617647
t184,17.5,18.1,4939.862466,116.6916168,190.4411765
t186,18,18.1,5478.027631,107.1107784,366.9117647
t188,18.5,18.1,5045.97755,153.5179641,152.7573529
t190,19,18.23,4595.659276,172.8078818,92.71168274
t192,19.5,18.25,4234.617533,67.78325123,89.49624866
t194,20,18.26,4577.967196,127.3891626,259.2711683
t196,11.5,19.04,5716.611825,83.84236453,163.3440514
t198,12,19.06,5216.33332,115.5665025,347.8027867
t200,12.5,19.06,5307.657708,95.86206897,200.750268
t202,13,19.07,4674.419068,96.84729064,478.1350482
t204,13.5,19.08,4612.820938,88.76847291,199.6784566
t206,14,19.09,4579.201829,138.817734,284.3515541
t208,14.5,19.09,4641.538205,105.4187192,148.8745981
t210,15,19.1,4709.862373,125.7142857,124.8660236
t212,15.5,19.1,4495.300263,238.4236453,126.2593783
t214,16,19.08,3827.157894,153.0049261,216.1843516
t216,16.5,19.09,3861.883807,125.2216749,139.4426581
t218,17.1,19.01,3738.643743,113.3990148,174.812433
t220,17.5,19.01,3839.580357,141.2807882,168.0600214
t227,15.5,20.4,3163.611456,108.423913,39.15584416
t229,16,20.4,5158.316279,305.4347826,54.15584416
t233,17,20.4,6344.302312,259.7826087,67.4025974
t235,17.5,20.4,4956.370519,179.3478261,112.1428571
t237,18,20.41,4995.389822,352.9891304,82.46753247
t239,18.5,20.4,4258.244978,102.4456522,71.94805195
t241,19,20.41,4592.43108,323.9130435,121.5584416
t243,19.5,20.42,4538.791872,80.16304348,58.05194805
t245,20,20.42,3745.210092,247.5543478,163.7662338
t247,20.5,20.42,3626.366473,100,65.06493506
t253,9,11.39,4882.337062,139.055794,67.47032641
t255,9.5,11.4,4601.146102,681.1158798,14.31750742
t257,10,11.4,4482.918638,194.4206009,19.23219585
t259,10.5,11.4,4449.778203,315.4506438,17.08086053
t261,11,11.4,4913.828932,343.3476395,20.14094955
t263,11.5,11.41,4525.469844,303.8626609,23.62759644
t265,12,11.4,4613.630315,245.4935622,17.22922849
t267,12.5,11.41,4558.061301,452.360515,26.52077151
t269,13,11.41,4561.613328,294.8497854,12.70400593
t271,13.5,11.41,4449.545811,392.7038627,24.01706231
t273,14,11.41,4486.286142,307.7253219,26.59495549
