feature_num,impact
3773,0.01823242228465443
501,0.014284142110753418
7469,0.013939297109121734
2007,0.013321052298443964
1591,0.013176321852305295
4218,0.013033561801860166
3272,0.012901566391254681
6513,0.012828921946823748
1967,0.012096157141918147
3317,0.012095264870747548
1820,0.01200371955983367
7131,0.011930893631571883
8051,0.01187180648143673
6646,0.011555886711350754
1913,0.01142325011753298
7344,0.01128484678504858
7166,0.011217629775451116
3945,0.011092288646181152
1999,0.010979008350204525
4870,0.010888580881719814
3825,0.010741098233572919
3294,0.010517013434290028
147,0.010460540805337516
3731,0.010391600666587904
388,0.010384137032659032
2208,0.010308406869028524
1711,0.010189480461125975
511,0.010131751134356767
1744,0.01005581434577705
4033,0.009888022329752999
6291,0.009884251038762408
5924,0.009868473378865109
3313,0.009859469813315678
6510,0.009833566184216738
3735,0.009773669048676874
4746,0.00974331502226811
3780,0.009723624805591548
3981,0.009705128486770086
4569,0.009658126876510985
4733,0.009552960833341206
5416,0.009551146875590071
5572,0.009431312176859741
5825,0.009288719292358635
6618,0.009244802804239678
2466,0.009067372656081893
2641,0.00903625345596026
2197,0.009032010530613213
1810,0.009024104999512984
2003,0.009020788249977924
1109,0.008954134434921416
5954,0.00894366345369657
2608,0.008928272871593765
7356,0.008819811363914421
7062,0.008811739143018742
6803,0.008794558759600123
7567,0.008783923815042458
1497,0.008709124045170128
7144,0.008672839264665146
4471,0.008647110550085633
7935,0.008636597842232882
646,0.008621945720554285
4579,0.008609311128407526
1256,0.008529871150188783
1806,0.008526599092601457
3220,0.008509936432091539
7947,0.008503959062247872
281,0.008473293674036757
1622,0.008469087531400837
1084,0.00846596848338287
1904,0.008416770595254693
3686,0.008386304533351586
5779,0.00837555015322715
815,0.008372332859023545
5670,0.008339575147567817
7011,0.008333001740219129
1178,0.00829631979622144
7333,0.008290024899459198
7029,0.008264400316746592
1658,0.008263316894635192
3386,0.008252106846142158
2638,0.00823420277751195
5329,0.008199643505656148
6083,0.008184008152739591
160,0.008160833810150668
949,0.008147511092528799
7596,0.008147315238148833
6686,0.008125081119407285
5230,0.008101126212028138
5442,0.008097119189760804
8033,0.008094557590265849
3798,0.008065370695719665
2104,0.008056658693350217
7234,0.008054704834817947
3112,0.008029219065662872
5889,0.008022538502960957
6643,0.008011735593201084
3297,0.007960764495966898
4948,0.007941731739428495
6562,0.007918405788691846
1002,0.007908577294908879
4753,0.007895383130376625
8172,0.007879096082927447
223,0.007869700296729605
4052,0.007814203804951712
1233,0.0077801945726919996
3077,0.007772375957503909
1186,0.0077669472616716355
5469,0.007764527859085645
1786,0.007737551778100961
4096,0.007731321805698542
1923,0.007716562014602153
6145,0.007706410738802674
