TEST,mtt24,mtt48
t764,86.05319913731122,257.0915619389582
t766,65.34867002156717,243.0879712746854
t768,136.73616103522636,297.4865350089761
t770,78.36089144500352,263.37522441651663
t772,91.01365923795824,258.70736086175896
t774,50.89863407620414,221.5439856373425
t776,90.22286125089856,206.8222621184915
t778,76.77929547088421,303.5906642728899
t780,93.38605319913724,243.98563734290798
t782,56.074766355140135,256.9120287253137
t784,74.26312005751252,232.49551166965844
t786,72.60963335729686,235.7271095152599
t788,81.38030194104955,294.79353680430825
t790,91.30122214234358,253.3213644524232
t792,47.95111430625446,271.45421903052016
t794,103.23508267433492,168.7612208258525
t795,132.5358851674641,51.35444486837083
t797,66.34768740031897,56.96299122472336
t799,147.76714513556618,73.67417016405949
t801,70.73365231259969,86.9515452117512
t803,113.39712918660287,85.42541014879814
t805,58.452950558213715,125.44830217474244
t807,84.60925039872407,61.65585654330407
t809,74.48165869218502,100.03815337657377
t811,110.76555023923447,73.52155665776418
t813,116.10845295055823,88.17245326211366
t815,65.07177033492823,64.17397939717662
t817,49.601275917065394,81.19038534910337
t819,56.14035087719298,66.6921022510492
t821,55.50239234449761,58.37466615795495
t823,52.55183413078151,60.05341472720333
t825,37.400318979266345,38.840137352155644
