wavelength,value
196.85006713867188,143.1124038696289
196.99642944335938,-27.663482666015625
197.14279174804688,-17.9827880859375
197.2891387939453,8.1146240234375
197.43548583984375,53.06109619140625
197.58181762695312,-403.86248779296875
197.72813415527344,154.6617431640625
197.87445068359375,-36.951171875
198.020751953125,76.68499755859375
198.16705322265625,-31.567596435546875
198.31333923339844,-123.571044921875
198.45960998535156,-57.593475341796875
198.6058807373047,-60.88037109375
198.75213623046875,22.668075561523438
198.8983917236328,0.947998046875
199.0446319580078,-114.96697998046875
199.19085693359375,126.15902709960938
199.3370819091797,17.70465087890625
199.48329162597656,68.95147705078125
199.62950134277344,22.499603271484375
199.77569580078125,79.0560302734375
199.921875,-19.61773681640625
200.06805419921875,113.77642822265625
200.21421813964844,-23.975006103515625
200.36038208007812,-57.0533447265625
200.50653076171875,-80.58282470703125
200.6526641845703,82.90523529052734
200.79879760742188,-82.99041748046875
200.94493103027344,-74.83795166015625
201.09103393554688,-25.41156005859375
201.2371368408203,178.15281677246094
201.38323974609375,23.237335205078125
201.52932739257812,88.50247192382812
201.67539978027344,-158.1920166015625
201.8214569091797,22.5592041015625
201.96751403808594,-38.95941162109375
202.1135711669922,129.09625244140625
202.25961303710938,-54.366455078125
202.4056396484375,69.71197509765625
202.55166625976562,-67.49888610839844
202.6976776123047,-27.9627685546875
202.8436737060547,-41.3896484375
202.9896697998047,-52.9132080078125
203.13565063476562,-56.91973876953125
203.28163146972656,-143.83697509765625
203.42759704589844,47.95001220703125
203.57354736328125,174.85888671875
203.71949768066406,210.611328125
203.8654327392578,194.7508544921875
204.01136779785156,-34.625244140625
204.15728759765625,92.07177734375
204.30320739746094,-32.909759521484375
204.4490966796875,-89.2918701171875
204.59500122070312,129.465087890625
204.74087524414062,56.06465148925781
204.88674926757812,38.7288818359375
205.03262329101562,-145.5836181640625
205.178466796875,-11.80303955078125
205.32431030273438,25.450408935546875
205.47015380859375,-23.941436767578125
205.61598205566406,140.55755615234375
205.7617950439453,-7.376927375793457
205.90760803222656,202.0780029296875
206.05340576171875,-165.4298095703125
206.19920349121094,111.11199951171875
206.34498596191406,-32.089637756347656
206.49075317382812,82.7275390625
206.6365203857422,-13.647308349609375
206.7822723388672,-100.9132080078125
206.92800903320312,-43.82501220703125
207.07374572753906,-92.92633056640625
207.21946716308594,-137.61669921875
207.3651885986328,38.54156494140625
207.51089477539062,-8.01458740234375
207.65660095214844,69.80462646484375
207.80227661132812,-116.787353515625
207.94796752929688,207.75119018554688
208.0936279296875,18.4423828125
208.23928833007812,23.51959228515625
208.38494873046875,-127.58868408203125
208.53057861328125,-146.4608154296875
208.6762237548828,-109.0625
208.82183837890625,-72.8797607421875
208.9674530029297,-144.11749267578125
209.11305236816406,163.0301055908203
209.25865173339844,46.10577392578125
209.40423583984375,198.1728515625
209.54981994628906,-60.859657287597656
209.6953887939453,151.96471405029297
209.8409423828125,7.7086639404296875
209.98648071289062,151.9647216796875
